scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,236,0.0668,2.2691,4.3691,1537.0,1784.12,8569.0
Rondo,237,0.085,2.4634,4.5634,1539.0,1928.71,8976.0
Rondo,238,0.056,2.3534,4.4534,1538.0,1736.79,8380.0
Rondo,239,0.1131,1.204,3.304,1540.0,1492.05,7760.0
Rondo,240,0.0026,1.8031,3.9031,1541.0,1221.74,6647.0
Rondo,241,0.0109,2.0878,4.1878,1541.0,1424.56,7462.0
Rondo,242,0.115,2.4685,4.5685,1542.0,2114.11,9475.0
Rondo,243,0.0385,1.5925,3.6925,1542.0,1326.42,7067.0
Rondo,244,0.0503,1.6501,3.7501,1538.0,1388.73,7461.0
Rondo,245,0.1263,1.4239,3.5239,1540.0,1655.32,8373.0
Rondo,246,0.0044,1.0907,3.1907,1540.0,918.16,5350.0
Rondo,247,0.1313,2.2704,4.3704,1540.0,2056.84,9592.0
Rondo,248,0.0122,1.0982,3.1982,1541.0,974.84,5554.0
Rondo,249,0.0793,2.3861,4.4861,1540.0,1884.92,8776.0
Rondo,250,0.143,2.31,4.41,1536.0,2134.93,9879.0
Rondo,251,0.0917,1.7659,3.8659,1541.0,1672.75,8271.0
Rondo,252,0.0096,1.6576,3.7576,1540.0,1200.73,6654.0
Rondo,253,0.0688,2.0356,4.1356,1537.0,1674.2,8279.0
Rondo,254,0.1275,1.5335,3.6335,1538.0,1686.7,8470.0
Rondo,255,0.1249,1.1727,3.2727,1541.0,1590.37,8071.0
Rondo,256,0.045,1.2175,3.3175,1540.0,1207.61,6649.0
Rondo,257,0.0647,1.5227,3.6227,1536.0,1397.93,7363.0
Rondo,258,0.0379,1.82,3.92,1541.0,1385.38,7258.0
Rondo,259,0.0506,1.7075,3.8075,1538.0,1405.61,7364.0
Rondo,260,0.0637,1.8202,3.9202,1546.0,1530.78,7864.0
Rondo,261,0.0765,1.4583,3.5583,1540.0,1424.04,7467.0
Rondo,262,0.0942,1.9522,4.0522,1543.0,1788.37,8771.0
Rondo,263,0.0073,1.9153,4.0153,1540.0,1263.32,6764.0
Rondo,264,0.0122,1.6016,3.7016,1541.0,1203.28,6654.0
Rondo,265,0.1233,1.0721,3.1721,1538.0,1482.87,7760.0
Rondo,266,0.1308,2.4684,4.5684,1541.0,2165.18,9790.0
Rondo,267,0.0218,1.3178,3.4178,1542.0,1112.18,6249.0
Rondo,268,0.111,1.9026,4.0026,1541.0,1792.68,8683.0
Rondo,269,0.0209,1.6894,3.7894,1542.0,1270.79,6856.0
Rondo,270,0.0847,1.4085,3.5085,1539.0,1482.98,7760.0
Rondo,271,0.111,1.8911,3.9911,1541.0,1819.25,8767.0
Rondo,272,0.0336,1.0757,3.1757,1539.0,1045.82,6057.0
Rondo,273,0.0688,1.2807,3.3807,1537.0,1336.51,7064.0
Rondo,274,0.0454,1.3662,3.4662,1539.0,1252.04,6855.0
