scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,510,0.0334,1.4503,3.5503,1538.0,1216.39,6654.0
Rondo,511,0.0288,1.4829,3.5829,1537.0,1210.36,6559.0
Rondo,512,0.0076,1.7025,3.8025,1540.0,1205.96,6561.0
Rondo,513,0.0096,2.2176,4.3176,1539.0,1456.4,7458.0
Rondo,514,0.1496,1.8641,3.9641,1541.0,2020.29,9388.0
Rondo,515,0.0634,1.7996,3.8996,1546.0,1540.38,7864.0
Rondo,516,0.0461,1.7849,3.8849,1537.0,1408.02,7258.0
Rondo,517,0.0326,1.0824,3.1824,1542.0,1066.86,6053.0
Rondo,518,0.0226,1.4807,3.5807,1543.0,1193.99,6548.0
Rondo,519,0.117,2.2167,4.3167,1540.0,1961.81,9086.0
Rondo,520,0.0799,2.4594,4.5594,1539.0,1873.0,8774.0
Rondo,521,0.0725,1.4665,3.5665,1546.0,1460.86,7566.0
Rondo,522,0.0898,1.6013,3.7013,1538.0,1549.26,7868.0
Rondo,523,0.051,1.4999,3.5999,1538.0,1339.02,7163.0
Rondo,524,0.137,1.5986,3.6986,1536.0,1805.3,8772.0
Rondo,525,0.0753,2.4201,4.5201,1541.0,1864.43,8675.0
Rondo,526,0.1119,1.5149,3.6149,1540.0,1664.08,8173.0
Rondo,527,0.1201,1.0202,3.1202,1541.0,1465.45,7669.0
Rondo,528,0.0183,1.9701,4.0701,1539.0,1391.69,7271.0
Rondo,529,0.1224,2.3219,4.4219,1538.0,1982.3,9377.0
Rondo,530,0.1165,1.9291,4.0291,1541.0,1834.27,8869.0
Rondo,531,0.0287,1.8994,3.9994,1537.0,1376.2,7165.0
Rondo,532,0.1453,1.9693,4.0693,1546.0,1990.43,9385.0
Rondo,533,0.1148,2.0614,4.1614,1542.0,1862.86,8974.0
Rondo,534,0.0252,1.6308,3.7308,1541.0,1295.23,6849.0
Rondo,535,0.0125,2.4582,4.5582,1541.0,1567.29,7669.0
Rondo,536,0.0067,1.9812,4.0812,1540.0,1362.81,7151.0
Rondo,537,0.1374,2.1354,4.2354,1536.0,2040.28,9491.0
Rondo,538,0.0171,2.4959,4.5959,1539.0,1596.46,7772.0
Rondo,539,0.1467,1.0786,3.1786,1541.0,1659.87,8274.0
Rondo,540,0.0703,1.0067,3.1067,1537.0,1205.58,6749.0
Rondo,541,0.0906,1.1994,3.2994,1539.0,1423.2,7371.0
Rondo,542,0.1488,2.1196,4.2196,1540.0,2125.07,9896.0
Rondo,543,0.1009,1.9915,4.0915,1539.0,1843.89,8978.0
Rondo,544,0.0678,2.36,4.46,1538.0,1840.97,8666.0
Rondo,545,0.0863,2.3547,4.4547,1537.0,1900.71,8882.0
Rondo,546,0.0386,2.4808,4.5808,1542.0,1690.63,8061.0
Rondo,547,0.0461,1.6144,3.7144,1537.0,1365.06,7168.0
Rondo,548,0.0899,2.13,4.23,1538.0,1847.06,8975.0
Rondo,549,0.1187,2.4733,4.5733,1538.0,2113.98,9475.0
Rondo,550,0.0172,2.0475,4.1475,1538.0,1425.14,7455.0
Rondo,551,0.1017,1.9771,4.0771,1539.0,1766.62,8669.0
Rondo,552,0.0339,2.0126,4.1126,1538.0,1482.76,7668.0
Rondo,553,0.1109,1.7937,3.8937,1541.0,1738.68,8565.0
Rondo,554,0.0714,2.4644,4.5644,1536.0,1843.7,8684.0
Rondo,555,0.0011,1.8884,3.9884,1546.0,1257.95,6748.0
Rondo,556,0.1231,1.6635,3.7635,1538.0,1739.49,8480.0
Rondo,557,0.0388,1.1792,3.2792,1541.0,1139.44,6346.0
Rondo,558,0.0556,1.1171,3.2171,1538.0,1217.69,6453.0
Rondo,559,0.0734,1.5267,3.6267,1546.0,1464.79,7570.0
Rondo,560,0.0993,2.0586,4.1586,1540.0,1877.0,9071.0
Rondo,561,0.1095,1.2158,3.3158,1540.0,1543.75,7859.0
Rondo,562,0.0795,1.8968,3.9968,1540.0,1638.7,8167.0
Rondo,563,0.1387,1.7226,3.8226,1537.0,1870.93,8986.0
Rondo,564,0.1062,1.1545,3.2545,1538.0,1503.63,7463.0
Rondo,565,0.1021,2.3332,4.4332,1538.0,1998.41,9188.0
Rondo,566,0.0012,1.0128,3.1128,1546.0,904.14,5250.0
Rondo,567,0.0926,1.4367,3.5367,1544.0,1506.4,7871.0
Rondo,568,0.1382,2.4985,4.5985,1537.0,2182.74,9980.0
Rondo,569,0.1286,1.1248,3.2248,1540.0,1561.62,7965.0
Rondo,570,0.0107,2.2526,4.3526,1542.0,1490.69,7657.0
Rondo,571,0.0298,2.0185,4.1185,1538.0,1493.98,7660.0
Rondo,572,0.045,1.0272,3.1272,1540.0,1112.36,6249.0
Rondo,573,0.0973,2.2907,4.3907,1541.0,1930.89,9185.0
Rondo,574,0.0269,1.4983,3.5983,1540.0,1224.62,6662.0
Rondo,575,0.0179,2.0679,4.1679,1538.0,1426.41,7465.0
Rondo,576,0.0031,1.1358,3.2358,1540.0,954.7,5546.0
Rondo,577,0.0265,1.9421,4.0421,1541.0,1399.62,7369.0
Rondo,578,0.0398,2.1001,4.2001,1540.0,1578.85,7965.0
Rondo,579,0.0516,1.9456,4.0456,1542.0,1542.04,7862.0
Rondo,580,0.0262,1.5443,3.6443,1541.0,1259.34,6854.0
Rondo,581,0.0253,1.85,3.95,1541.0,1340.09,7064.0
Rondo,582,0.0333,1.0334,3.1334,1538.0,1036.88,5948.0
Rondo,583,0.0523,1.0498,3.1498,1540.0,1149.59,6362.0
Rondo,584,0.0293,1.9985,4.0985,1539.0,1441.27,7467.0
Rondo,585,0.0444,2.41,4.51,1541.0,1712.83,8177.0
Rondo,586,0.0436,2.1921,4.2921,1541.0,1616.38,8074.0
Rondo,587,0.0265,1.7472,3.8472,1541.0,1307.83,7051.0
Rondo,588,0.0624,1.6941,3.7941,1544.0,1481.52,7660.0
Rondo,589,0.085,1.4821,3.5821,1539.0,1498.12,7761.0
Rondo,590,0.052,1.2436,3.3436,1540.0,1257.17,6765.0
Rondo,591,0.0916,1.7619,3.8619,1541.0,1599.85,8075.0
Rondo,592,0.1402,1.0403,3.1403,1538.0,1516.09,7769.0
Rondo,593,0.0233,1.9125,4.0125,1540.0,1389.11,7255.0
Rondo,594,0.1079,2.0303,4.1303,1537.0,1821.11,8776.0
Rondo,595,0.008,1.1353,3.2353,1539.0,968.02,5643.0
Rondo,596,0.099,1.4145,3.5145,1540.0,1527.31,7774.0
Rondo,597,0.0484,1.2793,3.3793,1541.0,1224.4,6657.0
Rondo,598,0.0392,1.883,3.983,1540.0,1414.76,7364.0
Rondo,599,0.1146,1.1544,3.2544,1542.0,1510.48,7669.0
Rondo,600,0.1445,2.2801,4.3801,1546.0,2143.03,9879.0
Rondo,601,0.0809,1.4426,3.5426,1538.0,1459.35,7556.0
Rondo,602,0.0133,1.8301,3.9301,1538.0,1267.29,6761.0
Rondo,603,0.0777,1.2884,3.3884,1541.0,1406.26,7565.0
Rondo,604,0.0993,1.9342,4.0342,1540.0,1754.25,8669.0
Rondo,605,0.0543,1.7701,3.8701,1540.0,1448.28,7568.0
Rondo,606,0.0753,1.6052,3.7052,1541.0,1474.34,7662.0
Rondo,607,0.0314,1.7829,3.8829,1542.0,1339.71,7160.0
Rondo,608,0.0212,1.4192,3.5192,1542.0,1138.04,6353.0
Rondo,609,0.1104,1.8719,3.9719,1542.0,1794.57,8684.0
Rondo,610,0.0676,1.4219,3.5219,1538.0,1379.48,7253.0
Rondo,611,0.112,1.8666,3.9666,1540.0,1794.91,8672.0
Rondo,612,0.004,2.4888,4.5888,1541.0,1548.65,7559.0
Rondo,613,0.0608,2.2414,4.3414,1541.0,1739.69,8369.0
Rondo,614,0.0599,1.8665,3.9665,1540.0,1524.5,7761.0
Rondo,615,0.1434,1.3671,3.4671,1536.0,1730.7,8468.0
Rondo,616,0.1317,2.3966,4.4966,1540.0,2133.2,9778.0
Rondo,617,0.092,1.5197,3.6197,1541.0,1563.99,7871.0
Rondo,618,0.0437,2.0287,4.1287,1541.0,1584.31,7962.0
Rondo,619,0.0387,2.4278,4.5278,1542.0,1702.12,8072.0
Rondo,620,0.0453,1.8672,3.9672,1540.0,1432.33,7369.0
Rondo,621,0.0768,1.0658,3.1658,1540.0,1278.56,6862.0
Rondo,622,0.1312,2.047,4.147,1540.0,1986.21,9386.0
Rondo,623,0.1001,1.697,3.797,1537.0,1653.41,8272.0
Rondo,624,0.1124,1.3537,3.4537,1538.0,1601.76,8072.0
Rondo,625,0.0963,1.2199,3.3199,1540.0,1500.86,7657.0
Rondo,626,0.072,1.9657,4.0657,1537.0,1651.28,8167.0
Rondo,627,0.0022,1.5555,3.6555,1544.0,1139.06,6359.0
Rondo,628,0.0054,2.27,4.37,1541.0,1462.65,7469.0
Rondo,629,0.1156,1.0563,3.1563,1541.0,1488.05,7669.0
Rondo,630,0.006,1.4883,3.5883,1541.0,1112.81,6250.0
Rondo,631,0.0344,1.3335,3.4335,1538.0,1172.22,6461.0
Rondo,632,0.0158,1.9978,4.0978,1541.0,1390.77,7369.0
Rondo,633,0.0568,1.7796,3.8796,1540.0,1480.62,7667.0
Rondo,634,0.0243,1.5864,3.6864,1540.0,1258.29,6851.0
Rondo,635,0.0314,1.5255,3.6255,1542.0,1256.91,6855.0
Rondo,636,0.0578,1.8819,3.9819,1542.0,1528.14,7666.0
Rondo,637,0.0418,2.437,4.537,1543.0,1736.69,8376.0
Rondo,638,0.0126,1.0942,3.1942,1539.0,962.3,5550.0
Rondo,639,0.0663,1.2611,3.3611,1537.0,1303.53,6858.0
Rondo,640,0.051,1.9168,4.0168,1538.0,1499.27,7669.0
Rondo,641,0.0233,1.8913,3.9913,1540.0,1352.48,7069.0
Rondo,642,0.0479,1.1442,3.2442,1539.0,1162.93,6451.0
Rondo,643,0.0163,1.5784,3.6784,1539.0,1178.61,6649.0
Rondo,644,0.1098,1.3014,3.4014,1541.0,1543.82,7764.0
Rondo,645,0.1054,2.0507,4.1507,1538.0,1846.59,8978.0
Rondo,646,0.0768,2.0481,4.1481,1539.0,1730.24,8473.0
Rondo,647,0.0191,1.6146,3.7146,1540.0,1236.6,6748.0
Rondo,648,0.0256,2.249,4.349,1541.0,1552.99,7761.0
Rondo,649,0.03,1.4522,3.5522,1538.0,1193.86,6654.0
Rondo,650,0.0263,1.3008,3.4008,1541.0,1193.88,6257.0
Rondo,651,0.1427,1.8444,3.9444,1536.0,1972.7,9281.0
Rondo,652,0.0723,1.9416,4.0416,1546.0,1647.04,8176.0
Rondo,653,0.0795,1.3348,3.4348,1540.0,1415.91,7556.0
Rondo,654,0.0982,2.4792,4.5792,1541.0,2022.38,9391.0
Rondo,655,0.1036,2.3095,4.4095,1542.0,1994.41,9284.0
Rondo,656,0.0449,2.2582,4.3582,1540.0,1640.77,8074.0
Rondo,657,0.0796,2.1161,4.2161,1540.0,1775.39,8678.0
Rondo,658,0.0589,1.5007,3.6007,1541.0,1354.95,7168.0
Rondo,659,0.106,1.9518,4.0518,1538.0,1854.06,8970.0
Rondo,660,0.1458,1.4874,3.5874,1544.0,1827.72,8886.0
Rondo,661,0.0814,1.3778,3.4778,1538.0,1462.62,7457.0
Rondo,662,0.0425,2.4474,4.5474,1542.0,1750.99,8364.0
Rondo,663,0.0244,2.3966,4.4966,1540.0,1595.01,7861.0
Rondo,664,0.146,1.5517,3.6517,1544.0,1853.59,8979.0
Rondo,665,0.0725,1.2731,3.3731,1546.0,1321.66,7159.0
Rondo,666,0.0198,2.2283,4.3283,1541.0,1514.32,7660.0
Rondo,667,0.0791,2.3785,4.4785,1540.0,1863.87,8777.0
Rondo,668,0.1073,1.1989,3.2989,1537.0,1472.14,7666.0
Rondo,669,0.0773,1.7351,3.8351,1541.0,1583.5,7967.0
Rondo,670,0.039,1.2509,3.3509,1541.0,1180.7,6462.0
Rondo,671,0.0354,2.3787,4.4787,1537.0,1653.63,8061.0
Rondo,672,0.029,2.359,4.459,1539.0,1636.41,7960.0
Rondo,673,0.0479,2.287,4.387,1539.0,1672.4,8263.0
Rondo,674,0.0184,2.3293,4.4293,1539.0,1517.4,7569.0
Rondo,675,0.0229,1.5561,3.6561,1540.0,1231.08,6663.0
Rondo,676,0.1245,2.1578,4.2578,1540.0,2014.77,9480.0
Rondo,677,0.0608,2.1131,4.2131,1541.0,1666.39,8167.0
Rondo,678,0.1093,1.2206,3.3206,1540.0,1544.84,7775.0
Rondo,679,0.0095,1.6578,3.7578,1539.0,1193.05,6552.0
Rondo,680,0.0839,2.454,4.554,1540.0,1922.68,8869.0
Rondo,681,0.0699,1.7561,3.8561,1537.0,1520.9,7760.0
Rondo,682,0.0006,1.2034,3.3034,1546.0,1001.56,5746.0
Rondo,683,0.0516,2.1615,4.2615,1542.0,1652.06,8167.0
Rondo,684,0.0789,1.4865,3.5865,1540.0,1476.6,7572.0
Rondo,685,0.0908,2.4009,4.5009,1539.0,1897.14,8880.0
Rondo,686,0.0304,1.552,3.652,1538.0,1261.72,6854.0
Rondo,687,0.1355,1.6954,3.7954,1546.0,1823.36,8871.0
Rondo,688,0.137,2.338,4.438,1536.0,2093.08,9692.0
Rondo,689,0.127,1.8386,3.9386,1538.0,1837.23,8882.0
Rondo,690,0.0966,1.697,3.797,1540.0,1662.75,8175.0
Rondo,691,0.1285,1.569,3.669,1540.0,1757.52,8568.0
Rondo,692,0.0106,1.9704,4.0704,1542.0,1347.97,7167.0
Rondo,693,0.1213,2.4295,4.5295,1539.0,2047.59,9377.0
Rondo,694,0.112,1.751,3.851,1539.0,1731.49,8465.0
Rondo,695,0.1163,1.4871,3.5871,1541.0,1612.72,8176.0
Rondo,696,0.1275,1.1141,3.2141,1538.0,1554.04,7875.0
Rondo,697,0.0025,2.3965,4.4965,1541.0,1519.14,7463.0
Rondo,698,0.0175,1.2057,3.3057,1538.0,1052.75,5952.0
Rondo,699,0.0421,2.0143,4.1143,1542.0,1526.83,7771.0
Rondo,700,0.0593,1.9656,4.0656,1540.0,1585.65,7970.0
Rondo,701,0.0341,1.9347,4.0347,1538.0,1491.43,7556.0
Rondo,702,0.1309,1.1418,3.2418,1541.0,1584.58,7972.0
Rondo,703,0.105,1.6149,3.7149,1541.0,1644.2,8075.0
Rondo,704,0.1389,2.2593,4.3593,1538.0,2089.74,9680.0
Rondo,705,0.1179,1.1407,3.2407,1539.0,1491.74,7674.0
Rondo,706,0.1277,2.2544,4.3544,1538.0,2060.44,9593.0
Rondo,707,0.0419,2.1288,4.2288,1543.0,1599.72,7970.0
Rondo,708,0.0431,1.168,3.268,1542.0,1158.62,6356.0
Rondo,709,0.0753,2.1934,4.2934,1541.0,1786.37,8667.0
Rondo,710,0.0942,1.0548,3.1548,1543.0,1349.27,7169.0
Rondo,711,0.1245,2.2047,4.3047,1540.0,2025.71,9480.0
Rondo,712,0.1025,2.2469,4.3469,1537.0,1965.15,9177.0
Rondo,713,0.0467,2.2667,4.3667,1538.0,1654.65,8162.0
Rondo,714,0.14,1.7745,3.8745,1538.0,1857.26,9071.0
Rondo,715,0.0167,2.2582,4.3582,1539.0,1486.1,7662.0
Rondo,716,0.0607,1.7201,3.8201,1541.0,1472.42,7572.0
Rondo,717,0.0531,1.8664,3.9664,1541.0,1506.5,7765.0
Rondo,718,0.1493,1.899,3.999,1541.0,2000.3,9289.0
Rondo,719,0.0836,1.2791,3.3791,1540.0,1426.1,7368.0
Rondo,720,0.0608,2.2172,4.3172,1541.0,1739.26,8377.0
Rondo,721,0.085,1.0381,3.1381,1539.0,1314.84,7063.0
Rondo,722,0.1383,2.1879,4.2879,1537.0,2075.22,9582.0
Rondo,723,0.1117,1.6026,3.7026,1540.0,1707.04,8464.0
Rondo,724,0.1399,1.4252,3.5252,1538.0,1709.95,8374.0
Rondo,725,0.0716,1.4601,3.5601,1536.0,1383.88,7266.0
Rondo,726,0.1007,2.4998,4.5998,1537.0,1993.79,9189.0
Rondo,727,0.0926,1.9784,4.0784,1541.0,1764.34,8682.0
Rondo,728,0.049,1.1784,3.2784,1540.0,1189.68,6546.0
Rondo,729,0.0264,1.5679,3.6679,1541.0,1259.75,6851.0
Rondo,730,0.0886,2.4675,4.5675,1539.0,1920.89,8986.0
Rondo,731,0.0723,1.8004,3.9004,1546.0,1599.65,8162.0
Rondo,732,0.0418,1.294,3.394,1543.0,1232.85,6658.0
Rondo,733,0.133,2.0638,4.1638,1541.0,1967.63,9187.0
Rondo,734,0.0019,1.7632,3.8632,1544.0,1221.29,6556.0
Rondo,735,0.0881,1.6839,3.7839,1539.0,1604.03,7976.0
Rondo,736,0.124,1.0265,3.1265,1540.0,1485.46,7572.0
Rondo,737,0.0007,1.3166,3.4166,1546.0,1042.81,5939.0
Rondo,738,0.1296,2.0106,4.1106,1542.0,1970.11,9388.0
Rondo,739,0.0993,1.7199,3.8199,1540.0,1682.82,8275.0
Rondo,740,0.0728,2.26,4.36,1546.0,1780.38,8678.0
Rondo,741,0.0576,1.779,3.879,1540.0,1496.72,7563.0
Rondo,742,0.0497,2.1328,4.2328,1537.0,1672.32,8271.0
Rondo,743,0.1198,1.5673,3.6673,1539.0,1736.3,8467.0
Rondo,744,0.1163,1.6748,3.7748,1541.0,1751.79,8667.0
Rondo,745,0.1223,2.4493,4.5493,1538.0,2090.99,9489.0
Rondo,746,0.0121,1.4339,3.5339,1541.0,1099.4,6246.0
Rondo,747,0.1106,1.5364,3.6364,1542.0,1652.02,8278.0
Rondo,748,0.114,1.5746,3.6746,1543.0,1693.88,8469.0
Rondo,749,0.1374,2.1086,4.2086,1536.0,2020.15,9483.0
Rondo,750,0.1097,2.0486,4.1486,1541.0,1871.18,8882.0
Rondo,751,0.1272,1.0965,3.1965,1538.0,1530.86,7858.0
Rondo,752,0.0696,1.5867,3.6867,1538.0,1492.12,7667.0
Rondo,753,0.058,1.6536,3.7536,1541.0,1428.05,7454.0
Rondo,754,0.0988,2.4826,4.5826,1540.0,2052.37,9579.0
Rondo,755,0.0865,2.1611,4.2611,1539.0,1813.83,8773.0
Rondo,756,0.1125,2.0661,4.1661,1538.0,1884.76,8986.0
Rondo,757,0.0943,1.6991,3.7991,1543.0,1661.76,8366.0
Rondo,758,0.0095,1.9576,4.0576,1539.0,1312.28,6963.0
Rondo,759,0.1,1.9365,4.0365,1538.0,1764.7,8669.0
Rondo,760,0.0207,1.3285,3.4285,1543.0,1118.58,6155.0
Rondo,761,0.0135,1.9245,4.0245,1538.0,1304.31,6955.0
Rondo,762,0.1085,2.1945,4.2945,1540.0,1939.84,9073.0
Rondo,763,0.1348,2.2175,4.3175,1546.0,2122.49,9778.0
Rondo,764,0.083,2.0889,4.1889,1541.0,1754.99,8667.0
Rondo,765,0.1433,1.1654,3.2654,1536.0,1683.95,8076.0
Rondo,766,0.0285,1.6869,3.7869,1538.0,1306.08,6962.0
Rondo,767,0.0022,2.3517,4.4517,1544.0,1524.2,7463.0
Rondo,768,0.069,2.492,4.592,1538.0,1849.32,8776.0
Rondo,769,0.0453,2.0271,4.1271,1540.0,1568.2,7867.0
Rondo,770,0.0606,1.5366,3.6366,1541.0,1432.41,7269.0
Rondo,771,0.0615,2.0644,4.1644,1540.0,1660.64,8168.0
Rondo,772,0.1209,2.3563,4.4563,1540.0,2082.91,9576.0
Rondo,773,0.0003,1.7887,3.8887,1546.0,1218.26,6558.0
Rondo,774,0.0877,1.3059,3.4059,1541.0,1419.23,7467.0
Rondo,775,0.0414,1.7121,3.8121,1543.0,1386.36,7354.0
Rondo,776,0.0339,1.7747,3.8747,1538.0,1341.0,7154.0
Rondo,777,0.06,2.3877,4.4877,1540.0,1800.55,8673.0
Rondo,778,0.0722,1.3012,3.4012,1546.0,1384.26,7362.0
Rondo,779,0.1409,1.2945,3.3945,1538.0,1698.32,8375.0
Rondo,780,0.0699,1.594,3.694,1537.0,1503.42,7569.0
Rondo,781,0.1439,1.2749,3.3749,1536.0,1671.6,8280.0
Rondo,782,0.0263,1.4373,3.5373,1541.0,1170.86,6550.0
Rondo,783,0.0392,2.1184,4.2184,1540.0,1565.53,7876.0
Rondo,784,0.081,1.8414,3.9414,1538.0,1588.47,7971.0
Rondo,785,0.0028,1.318,3.418,1540.0,1019.51,5845.0
Rondo,786,0.1066,1.3203,3.4203,1539.0,1498.65,7868.0
Rondo,787,0.085,1.8522,3.9522,1539.0,1639.14,8268.0
Rondo,788,0.1119,1.6071,3.7071,1540.0,1706.08,8477.0
Rondo,789,0.1398,1.3318,3.4318,1538.0,1679.71,8364.0
Rondo,790,0.1253,2.2084,4.3084,1542.0,2022.32,9383.0
Rondo,791,0.0039,1.4087,3.5087,1541.0,1058.4,5856.0
Rondo,792,0.1454,1.0669,3.1669,1546.0,1584.05,8162.0
Rondo,793,0.1354,1.6435,3.7435,1546.0,1828.46,8983.0
Rondo,794,0.0859,2.4857,4.5857,1538.0,1940.09,8970.0
Rondo,795,0.0408,1.6825,3.7825,1539.0,1360.86,7167.0
Rondo,796,0.1477,1.3451,3.4451,1541.0,1709.61,8467.0
Rondo,797,0.0166,1.1207,3.2207,1539.0,1017.49,5853.0
Rondo,798,0.0485,1.3279,3.4279,1540.0,1289.0,6759.0
Rondo,799,0.0117,1.5408,3.6408,1540.0,1179.38,6647.0
Rondo,800,0.0671,1.313,3.413,1538.0,1347.49,7057.0
Rondo,801,0.0005,1.3986,3.4986,1546.0,1069.75,5955.0
Rondo,802,0.0485,2.4446,4.5446,1541.0,1763.55,8468.0
Rondo,803,0.1226,2.0925,4.1925,1538.0,1955.79,9087.0
Rondo,804,0.1135,1.0772,3.1772,1543.0,1454.2,7571.0
Rondo,805,0.0322,1.059,3.159,1542.0,1043.84,6041.0
Rondo,806,0.0514,1.3033,3.4033,1539.0,1235.54,6651.0
Rondo,807,0.0816,1.7634,3.8634,1540.0,1600.49,8166.0
Rondo,808,0.036,2.2346,4.3346,1536.0,1592.38,7963.0
Rondo,809,0.0675,2.45,4.55,1538.0,1891.46,8776.0
Rondo,810,0.0988,2.1486,4.2486,1540.0,1892.24,8987.0
Rondo,811,0.0989,2.3196,4.4196,1540.0,1945.75,9279.0
Rondo,812,0.0673,1.8856,3.9856,1538.0,1567.25,7867.0
Rondo,813,0.0296,2.1484,4.2484,1539.0,1534.73,7768.0
Rondo,814,0.0059,1.5188,3.6188,1541.0,1143.5,6349.0
Rondo,815,0.1295,1.5093,3.6093,1540.0,1724.74,8674.0
Rondo,816,0.0322,1.3873,3.4873,1542.0,1199.9,6559.0
Rondo,817,0.1309,1.1283,3.2283,1541.0,1600.75,7973.0
Rondo,818,0.0936,1.1494,3.2494,1542.0,1431.52,7468.0
Rondo,819,0.0331,1.9515,4.0515,1541.0,1448.76,7471.0
Rondo,820,0.0077,2.2062,4.3062,1540.0,1448.8,7455.0
Rondo,821,0.1363,1.9478,4.0478,1537.0,1974.9,9287.0
Rondo,822,0.0307,2.024,4.124,1537.0,1480.5,7660.0
Rondo,823,0.1455,1.3031,3.4031,1546.0,1726.3,8579.0
Rondo,824,0.0638,1.8643,3.9643,1546.0,1566.82,7876.0
Rondo,825,0.0727,1.3907,3.4907,1546.0,1406.73,7365.0
Rondo,826,0.0015,1.6267,3.7267,1545.0,1189.65,6551.0
Rondo,827,0.0764,1.8219,3.9219,1540.0,1561.97,7960.0
Rondo,828,0.0047,1.1654,3.2654,1539.0,967.74,5637.0
Rondo,829,0.0258,1.0875,3.1875,1541.0,1020.93,5841.0
Rondo,830,0.0859,2.2841,4.3841,1538.0,1869.75,8872.0
Rondo,831,0.033,1.7245,3.8245,1541.0,1317.62,7061.0
Rondo,832,0.1189,1.354,3.454,1538.0,1636.27,8078.0
Rondo,833,0.0217,1.7894,3.8894,1542.0,1318.58,6955.0
Rondo,834,0.1212,2.4671,4.5671,1539.0,2071.86,9385.0
Rondo,835,0.0293,2.4872,4.5872,1539.0,1642.3,7962.0
Rondo,836,0.1075,1.4432,3.5432,1537.0,1566.93,8061.0
Rondo,837,0.0981,2.1961,4.2961,1541.0,1921.13,9289.0
Rondo,838,0.055,1.4849,3.5849,1538.0,1323.05,7053.0
Rondo,839,0.1185,2.2002,4.3002,1538.0,1982.2,9273.0
Rondo,840,0.0547,2.033,4.133,1539.0,1628.61,8071.0
Rondo,841,0.1369,2.1792,4.2792,1536.0,2070.94,9692.0
Rondo,842,0.0053,1.4305,3.5305,1541.0,1086.68,6145.0
Rondo,843,0.0672,2.0753,4.1753,1538.0,1698.09,8378.0
Rondo,844,0.0097,1.0678,3.1678,1540.0,939.23,5451.0
Rondo,845,0.0099,2.0034,4.1034,1540.0,1378.99,7264.0
Rondo,846,0.072,1.3894,3.4894,1541.0,1401.5,7269.0
Rondo,847,0.1411,1.1571,3.2571,1538.0,1620.25,8171.0
Rondo,848,0.0999,2.3399,4.4399,1540.0,1931.82,9279.0
Rondo,849,0.0977,2.2013,4.3013,1541.0,1932.28,9171.0
Rondo,850,0.0951,2.075,4.175,1540.0,1824.6,8874.0
Rondo,851,0.1122,1.3589,3.4589,1538.0,1572.16,7964.0
Rondo,852,0.1329,1.6018,3.7018,1541.0,1830.83,8871.0
Rondo,853,0.0072,1.0087,3.1087,1540.0,904.25,5340.0
Rondo,854,0.0307,1.5055,3.6055,1537.0,1231.91,6663.0
Rondo,855,0.145,1.9523,4.0523,1546.0,2026.3,9385.0
Rondo,856,0.0752,1.1817,3.2817,1541.0,1319.38,7053.0
Rondo,857,0.043,2.1686,4.2686,1542.0,1642.07,8077.0
Rondo,858,0.0181,2.0665,4.1665,1540.0,1428.55,7460.0
Rondo,859,0.0357,2.2683,4.3683,1537.0,1594.16,7963.0
Rondo,860,0.1104,1.7798,3.8798,1542.0,1695.64,8378.0
Rondo,861,0.1442,1.8632,3.9632,1546.0,1907.44,9187.0
Rondo,862,0.0541,1.4712,3.5712,1541.0,1333.95,7161.0
Rondo,863,0.0891,2.3491,4.4491,1539.0,1904.6,9071.0
Rondo,864,0.1211,2.1695,4.2695,1539.0,2001.23,9374.0
Rondo,865,0.0445,1.9932,4.0932,1541.0,1514.83,7768.0
Rondo,866,0.0172,1.657,3.757,1538.0,1228.16,6758.0
Rondo,867,0.0809,1.5362,3.6362,1538.0,1510.04,7868.0
Rondo,868,0.1162,1.6011,3.7011,1541.0,1665.39,8465.0
Rondo,869,0.1019,1.5064,3.6064,1538.0,1615.17,8073.0
Rondo,870,0.1267,1.9309,4.0309,1539.0,1902.36,9183.0
Rondo,871,0.1082,2.2039,4.3039,1540.0,1969.91,9289.0
Rondo,872,0.0028,1.8947,3.9947,1540.0,1259.1,6755.0
Rondo,873,0.0489,2.1249,4.2249,1540.0,1602.78,8069.0
Rondo,874,0.0981,1.3879,3.4879,1541.0,1523.8,7762.0
Rondo,875,0.0093,1.5742,3.6742,1538.0,1168.11,6452.0
Rondo,876,0.0685,1.4152,3.5152,1538.0,1368.62,7166.0
Rondo,877,0.1028,1.1665,3.2665,1537.0,1421.04,7365.0
Rondo,878,0.064,2.4607,4.5607,1542.0,1876.75,8666.0
Rondo,879,0.1316,2.3833,4.4833,1540.0,2107.29,9688.0
Rondo,880,0.1022,1.4677,3.5677,1538.0,1570.97,7973.0
Rondo,881,0.1059,1.8384,3.9384,1538.0,1744.64,8583.0
Rondo,882,0.0009,1.3127,3.4127,1546.0,1028.64,5848.0
Rondo,883,0.0692,2.3069,4.4069,1538.0,1762.88,8569.0
Rondo,884,0.0219,2.0588,4.1588,1543.0,1450.46,7564.0
Rondo,885,0.1016,1.1208,3.2208,1539.0,1383.5,7363.0
Rondo,886,0.0836,1.9115,4.0115,1540.0,1676.34,8279.0
Rondo,887,0.0222,2.2968,4.3968,1543.0,1556.44,7862.0
Rondo,888,0.0938,1.2557,3.3557,1542.0,1504.89,7665.0
